Mutant;ALL;Jaccard
e_acos.mut.85.1_11_45.ABS.__ieee754_acos;1;1
e_acos.mut.85.1_12_47.ABS.__ieee754_acos;1;1
e_acos.mut.85.1_13_31.AOD.__ieee754_acos;1;1
e_acos.mut.85.1_15_34.AOD.__ieee754_acos;1;1
e_acos.mut.85.1_17_38.AOD.__ieee754_acos;1;1
e_acos.mut.85.1_18_25.AOR.__ieee754_acos;1;1
e_acos.mut.85.1_19_41.AOD.__ieee754_acos;1;1
e_acos.mut.85.1_2_11.AOR.__ieee754_acos;1;1
e_acos.mut.85.1_2_13.ABS.__ieee754_acos;1;1
e_acos.mut.85.1_21_45.AOD.__ieee754_acos;1;1
e_acos.mut.85.1_26_32.AOR.__ieee754_acos;1;1
e_acos.mut.85.1_3_13.AOD.__ieee754_acos;1;1
e_acos.mut.85.1_3_17.ABS.__ieee754_acos;1;1
e_acos.mut.85.1_34_39.AOR.__ieee754_acos;1;1
e_acos.mut.85.1_4_20.ABS.__ieee754_acos;1;1
e_acos.mut.85.1_42_46.AOR.__ieee754_acos;1;1
e_acos.mut.85.1_5_17.AOD.__ieee754_acos;1;1
e_acos.mut.85.1_5_24.ABS.__ieee754_acos;1;1
e_acos.mut.85.1_6_27.ABS.__ieee754_acos;1;1
e_acos.mut.85.1_7_20.AOD.__ieee754_acos;1;1
e_acos.mut.85.1_7_31.ABS.__ieee754_acos;1;1
e_acos.mut.85.1_8_34.ABS.__ieee754_acos;1;1
e_acos.mut.85.1_9_24.AOD.__ieee754_acos;1;1
e_acos.mut.85.1_9_38.ABS.__ieee754_acos;1;1
e_acos.mut.85.2_10_25.AOD.__ieee754_acos;1;1
e_acos.mut.85.2_11_18.AOR.__ieee754_acos;1;1
e_acos.mut.85.2_12_30.AOD.__ieee754_acos;1;1
e_acos.mut.85.2_14_32.AOD.__ieee754_acos;1;1
e_acos.mut.85.2_15_23.AOR.__ieee754_acos;1;1
e_acos.mut.85.2_16_37.AOD.__ieee754_acos;1;1
e_acos.mut.85.2_18_39.AOD.__ieee754_acos;1;1
e_acos.mut.85.2_19_25.AOR.__ieee754_acos;1;1
e_acos.mut.85.2_2_11.AOD.__ieee754_acos;1;1
e_acos.mut.85.2_20_44.AOD.__ieee754_acos;1;1
e_acos.mut.85.2_22_46.AOD.__ieee754_acos;1;1
e_acos.mut.85.2_23_30.AOR.__ieee754_acos;1;1
e_acos.mut.85.2_27_32.AOR.__ieee754_acos;1;1
e_acos.mut.85.2_3_11.AOR.__ieee754_acos;1;1
e_acos.mut.85.2_31_37.AOR.__ieee754_acos;1;1
e_acos.mut.85.2_35_39.AOR.__ieee754_acos;1;1
e_acos.mut.85.2_39_44.AOR.__ieee754_acos;1;1
e_acos.mut.85.2_4_16.AOD.__ieee754_acos;1;1
e_acos.mut.85.2_43_46.AOR.__ieee754_acos;1;1
e_acos.mut.85.2_6_18.AOD.__ieee754_acos;1;1
e_acos.mut.85.2_7_16.AOR.__ieee754_acos;1;1
e_acos.mut.85.2_8_23.AOD.__ieee754_acos;1;1
e_acos.mut.85.3_14_23.AOR.__ieee754_acos;1;1
e_acos.mut.85.3_22_30.AOR.__ieee754_acos;1;1
e_acos.mut.85.3_30_37.AOR.__ieee754_acos;1;1
e_acos.mut.85.3_38_44.AOR.__ieee754_acos;1;1
e_acos.mut.85.3_6_16.AOR.__ieee754_acos;1;1
e_acos.mut.85.4_12_18.AOR.__ieee754_acos;1;1
e_acos.mut.85.4_16_23.AOR.__ieee754_acos;1;1
e_acos.mut.85.4_20_25.AOR.__ieee754_acos;1;1
e_acos.mut.85.4_24_30.AOR.__ieee754_acos;1;1
e_acos.mut.85.4_28_32.AOR.__ieee754_acos;1;1
e_acos.mut.85.4_32_37.AOR.__ieee754_acos;1;1
e_acos.mut.85.4_36_39.AOR.__ieee754_acos;1;1
e_acos.mut.85.4_4_11.AOR.__ieee754_acos;1;1
e_acos.mut.85.4_40_44.AOR.__ieee754_acos;1;1
e_acos.mut.85.4_44_46.AOR.__ieee754_acos;1;1
e_acos.mut.85.4_8_16.AOR.__ieee754_acos;1;1
e_acos.mut.86.1_1_10.ABS.__ieee754_acos;1;1
e_acos.mut.86.1_1_10.AOD.__ieee754_acos;1;1
e_acos.mut.86.1_1_6.SDL.__ieee754_acos;1;1
e_acos.mut.86.1_11_28.AOD.__ieee754_acos;1;1
e_acos.mut.86.1_13_31.AOD.__ieee754_acos;1;1
e_acos.mut.86.1_14_22.AOR.__ieee754_acos;1;1
e_acos.mut.86.1_15_35.AOD.__ieee754_acos;1;1
e_acos.mut.86.1_2_14.ABS.__ieee754_acos;1;1
e_acos.mut.86.1_22_29.AOR.__ieee754_acos;1;1
e_acos.mut.86.1_3_14.AOD.__ieee754_acos;1;1
