Mutant;ALL;Jaccard
byteorder.mut.13.2_7_42.ICR.util_hton16;1;1
byteorder.mut.13.4_8_42.ICR.util_hton16;1;1
byteorder.mut.13.5_9_42.ICR.util_hton16;1;1
byteorder.mut.13.8_1_29.LCR.util_hton16;1;1
byteorder.mut.134.1_1_5.SDL.util_htobe32;1;1
byteorder.mut.134.1_2_24.UOI.util_htobe32;1;1
byteorder.mut.134.3_1_24.UOI.util_htobe32;1;1
byteorder.mut.140.1_1_5.SDL.util_htole32;1;1
byteorder.mut.140.1_2_12.UOI.util_htole32;1;1
byteorder.mut.140.3_1_12.UOI.util_htole32;1;1
byteorder.mut.152.1_1_5.SDL.util_betoh32;1;1
byteorder.mut.152.1_2_24.UOI.util_betoh32;1;1
byteorder.mut.152.3_1_24.UOI.util_betoh32;1;1
byteorder.mut.157.1_1_5.SDL.util_letoh32;1;1
byteorder.mut.157.1_2_25.UOI.util_letoh32;1;1
byteorder.mut.157.3_1_25.UOI.util_letoh32;1;1
byteorder.mut.162.1_1_5.SDL.util_htobe64;1;1
byteorder.mut.162.1_2_24.UOI.util_htobe64;1;1
byteorder.mut.162.3_1_24.UOI.util_htobe64;1;1
byteorder.mut.168.1_1_5.SDL.util_htole64;1;1
byteorder.mut.168.1_2_12.UOI.util_htole64;1;1
byteorder.mut.168.3_1_12.UOI.util_htole64;1;1
byteorder.mut.184.1_1_5.SDL.util_betoh64;1;1
byteorder.mut.184.1_2_24.UOI.util_betoh64;1;1
byteorder.mut.184.3_1_24.UOI.util_betoh64;1;1
byteorder.mut.189.1_1_5.SDL.util_letoh64;1;1
byteorder.mut.189.1_2_25.UOI.util_letoh64;1;1
byteorder.mut.189.3_1_25.UOI.util_letoh64;1;1
byteorder.mut.19.1_1_5.SDL.util_ntoh16;1;1
byteorder.mut.19.1_2_24.UOI.util_ntoh16;1;1
byteorder.mut.19.3_1_24.UOI.util_ntoh16;1;1
byteorder.mut.194.1_1_5.SDL.util_htons;1;1
byteorder.mut.194.1_2_24.UOI.util_htons;1;1
byteorder.mut.194.3_1_24.UOI.util_htons;1;1
byteorder.mut.199.1_1_5.SDL.util_ntohs;1;1
byteorder.mut.199.1_2_24.UOI.util_ntohs;1;1
byteorder.mut.199.3_1_24.UOI.util_ntohs;1;1
byteorder.mut.204.1_1_5.SDL.util_htonl;1;1
byteorder.mut.204.1_2_24.UOI.util_htonl;1;1
byteorder.mut.204.3_1_24.UOI.util_htonl;1;1
byteorder.mut.209.1_1_5.SDL.util_ntohl;1;1
byteorder.mut.209.1_2_24.UOI.util_ntohl;1;1
byteorder.mut.209.3_1_24.UOI.util_ntohl;1;1
byteorder.mut.270.1_1_23.BOD.gs_bswap_16;1;1
byteorder.mut.270.1_1_24.SOD.gs_bswap_16;1;1
byteorder.mut.270.1_1_5.SDL.gs_bswap_16;1;1
byteorder.mut.270.1_12_44.ICR.gs_bswap_16;1;1
byteorder.mut.270.1_2_25.UOI.gs_bswap_16;1;1
byteorder.mut.270.2_7_44.ICR.gs_bswap_16;1;1
