MUTANT,TEST,CONFIGURATION,RESULT,FaultModel,DataItem,Span,Type,FaultClass,Min,Max,Threshold,Delta,State,Value
11,spi,CONFIGURED,PASSED,GET,2,1,LONG,VAT,u,u,180,1,u,u
11,store,CONFIGURED,PASSED,GET,2,1,LONG,VAT,u,u,180,1,u,u
11,store_load,CONFIGURED,PASSED,GET,2,1,LONG,VAT,u,u,180,1,u,u
11,vmem_store_checksum_first,CONFIGURED,PASSED,GET,2,1,LONG,VAT,u,u,180,1,u,u
11,vmem_store_checksum_last,CONFIGURED,PASSED,GET,2,1,LONG,VAT,u,u,180,1,u,u
12,bindings,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,1,u,u
12,example,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,1,u,u
12,file_store,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,1,u,u
12,i2c,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,1,u,u
12,log,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,1,u,u
12,param3,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,1,u,u
12,param4,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,1,u,u
12,rparam3,CONFIGURED,FAILED,GET,6,1,LONG,SS,u,u,u,1,u,u
12,rparam4,CONFIGURED,FAILED,GET,6,1,LONG,SS,u,u,u,1,u,u
12,serialize,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,1,u,u
12,spi,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,1,u,u
12,store,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,1,u,u
12,store_load,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,1,u,u
12,vmem_store_checksum_first,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,1,u,u
12,vmem_store_checksum_last,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,1,u,u
13,bindings,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,-1,u,u
13,example,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,-1,u,u
13,file_store,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,-1,u,u
13,i2c,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,-1,u,u
13,log,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,-1,u,u
13,param3,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,-1,u,u
13,param4,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,-1,u,u
13,rparam3,CONFIGURED,FAILED,GET,6,1,LONG,SS,u,u,u,-1,u,u
13,rparam4,CONFIGURED,FAILED,GET,6,1,LONG,SS,u,u,u,-1,u,u
13,serialize,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,-1,u,u
13,spi,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,-1,u,u
13,store,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,-1,u,u
13,store_load,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,-1,u,u
13,vmem_store_checksum_first,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,-1,u,u
13,vmem_store_checksum_last,CONFIGURED,PASSED,GET,6,1,LONG,SS,u,u,u,-1,u,u
14,bindings,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
14,example,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
14,file_store,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
14,i2c,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
14,log,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
14,param3,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
14,param4,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
14,rparam3,CONFIGURED,FAILED,SET,2,1,LONG,SS,u,u,u,1,u,u
14,rparam4,CONFIGURED,FAILED,SET,2,1,LONG,SS,u,u,u,1,u,u
14,serialize,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
14,spi,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
14,store,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
14,store_load,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
14,vmem_store_checksum_first,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
14,vmem_store_checksum_last,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
15,bindings,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
15,example,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
15,file_store,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
