MUTANT,TEST,CONFIGURATION,RESULT
15,vmem_store_checksum_last,CONFIGURED,PASSED
16,bindings,CONFIGURED,PASSED
16,example,CONFIGURED,PASSED
16,file_store,CONFIGURED,PASSED
16,i2c,CONFIGURED,PASSED
16,log,CONFIGURED,PASSED
16,param3,CONFIGURED,PASSED
16,param4,CONFIGURED,PASSED
16,rparam3,CONFIGURED,FAILED
16,rparam4,CONFIGURED,FAILED
16,serialize,CONFIGURED,PASSED
16,spi,CONFIGURED,PASSED
16,store,CONFIGURED,PASSED
16,store_load,CONFIGURED,PASSED
16,vmem_store_checksum_first,CONFIGURED,PASSED
16,vmem_store_checksum_last,CONFIGURED,PASSED
17,bindings,CONFIGURED,PASSED
17,example,CONFIGURED,PASSED
17,file_store,CONFIGURED,PASSED
17,i2c,CONFIGURED,PASSED
17,log,CONFIGURED,PASSED
17,param3,CONFIGURED,PASSED
17,param4,CONFIGURED,PASSED
17,rparam3,CONFIGURED,FAILED
17,rparam4,CONFIGURED,FAILED
17,serialize,CONFIGURED,PASSED
17,spi,CONFIGURED,PASSED
17,store,CONFIGURED,PASSED
17,store_load,CONFIGURED,PASSED
17,vmem_store_checksum_first,CONFIGURED,PASSED
17,vmem_store_checksum_last,CONFIGURED,PASSED
18,bindings,CONFIGURED,PASSED
18,example,CONFIGURED,PASSED
18,file_store,CONFIGURED,PASSED
18,i2c,CONFIGURED,PASSED
18,log,CONFIGURED,PASSED
18,param3,CONFIGURED,PASSED
18,param4,CONFIGURED,PASSED
18,rparam3,CONFIGURED,FAILED
18,rparam4,CONFIGURED,FAILED
18,serialize,CONFIGURED,PASSED
18,spi,CONFIGURED,PASSED
18,store,CONFIGURED,PASSED
18,store_load,CONFIGURED,PASSED
18,vmem_store_checksum_first,CONFIGURED,PASSED
18,vmem_store_checksum_last,CONFIGURED,PASSED
19,bindings,CONFIGURED,PASSED
19,example,CONFIGURED,PASSED
19,file_store,CONFIGURED,PASSED
19,i2c,CONFIGURED,PASSED
19,log,CONFIGURED,PASSED
19,param3,CONFIGURED,PASSED
19,param4,CONFIGURED,PASSED
19,rparam3,CONFIGURED,FAILED
19,rparam4,CONFIGURED,FAILED
19,serialize,CONFIGURED,PASSED
19,spi,CONFIGURED,PASSED
19,store,CONFIGURED,PASSED
19,store_load,CONFIGURED,PASSED
19,vmem_store_checksum_first,CONFIGURED,PASSED
19,vmem_store_checksum_last,CONFIGURED,PASSED
20,bindings,CONFIGURED,PASSED
20,example,CONFIGURED,PASSED
20,file_store,CONFIGURED,PASSED
20,i2c,CONFIGURED,PASSED
20,log,CONFIGURED,PASSED
20,param3,CONFIGURED,PASSED
20,param4,CONFIGURED,PASSED
20,rparam3,CONFIGURED,PASSED
